File,aid,Date,Orbit Number,Build ID,Scene ID,0,1,2,3,14,15,23,31,32,33,35,47,55,63
SDS_CloudMask_2020267_aid0001,aid0001,2020-09-23 00:15:02+00:00,12561,0601,002,,172193.0,,30885.0,,8324.0,11700.0,2809.0,,292.0,204.0,,169.0,
SDS_CloudMask_2020270_aid0001,aid0001,2020-09-26 22:43:00+00:00,12622,0601,005,,225898.0,,,,,,,,678.0,,,,
SDS_CloudMask_2020271_aid0001,aid0001,2020-09-27 21:56:16+00:00,12637,0601,005,155.0,225743.0,,,,,,,,678.0,,,,
SDS_CloudMask_2020273_aid0001,aid0001,2020-09-29 05:17:07+00:00,12657,0601,012,,225926.0,,,,,,,,650.0,,,,
SDS_CloudMask_2020274_aid0001,aid0001,2020-09-30 21:10:57+00:00,12683,0601,005,7834.0,199844.0,,,,,,,,657.0,,,,
SDS_CloudMask_2020275_aid0001,aid0001,2020-10-01 20:23:56+00:00,12698,0601,004,,225913.0,,,,,,,,663.0,,,,
SDS_CloudMask_2020277_aid0001,aid0001,2020-10-03 03:45:06+00:00,12718,0601,005,,65619.0,,35617.0,,71132.0,18799.0,34742.0,,72.0,158.0,292.0,37.0,108.0
SDS_CloudMask_2020278_aid0001,aid0001,2020-10-04 19:38:18+00:00,12744,0601,004,15205.0,76915.0,,,,,,,,674.0,,,,
SDS_CloudMask_2020279_aid0001,aid0001,2020-10-05 18:51:33+00:00,12759,0601,004,,225905.0,,,,,,,,671.0,,,,
SDS_CloudMask_2020282_aid0001,aid0001,2020-10-08 18:05:24+00:00,12805,0601,004,9978.0,31912.0,,,,,,,228.0,447.0,,,,
SDS_CloudMask_2020283_aid0001,aid0001,2020-10-09 17:18:16+00:00,12820,0601,002,,225905.0,,,,,,,,671.0,,,,
SDS_CloudMask_2020286_aid0001,aid0001,2020-10-12 16:31:22+00:00,12866,0601,004,15228.0,121487.0,,,,,,,,641.0,,,,
SDS_CloudMask_2020287_aid0001,aid0001,2020-10-13 15:44:12+00:00,12881,0601,004,,225916.0,,,,,,,,660.0,,,,
SDS_CloudMask_2020290_aid0001,aid0001,2020-10-16 14:57:09+00:00,12927,0601,004,8002.0,199666.0,,,,,,,,659.0,,,,
SDS_CloudMask_2020291_aid0001,aid0001,2020-10-17 14:10:01+00:00,12942,0601,004,,223330.0,,2442.0,,146.0,,,,333.0,325.0,,,
SDS_CloudMask_2020294_aid0001,aid0001,2020-10-20 13:23:40+00:00,12988,0601,003,,225898.0,,,,,,,,678.0,,,,
SDS_CloudMask_2020296_aid0001,aid0001,2020-10-22 19:56:23+00:00,13023,0601,012,,225929.0,,,,,,,,647.0,,,,
SDS_CloudMask_2020298_aid0001,aid0001,2020-10-24 11:48:49+00:00,13049,0601,004,,225910.0,,,,,,,,666.0,,,,
SDS_CloudMask_2020299_aid0001,aid0001,2020-10-25 11:01:48+00:00,13064,0601,004,22974.0,,4369.0,,51.0,134775.0,,562.0,,,,,,
SDS_CloudMask_2020300_aid0001,aid0001,2020-10-26 18:21:59+00:00,13084,0601,014,,,,15398.0,,193358.0,6374.0,10780.0,,,544.0,77.0,44.0,1.0
SDS_CloudMask_2020302_aid0001,aid0001,2020-10-28 10:14:36+00:00,13110,0601,004,,,,,,225871.0,,30.0,,,,674.0,,1.0
SDS_CloudMask_2020303_aid0001,aid0001,2020-10-29 09:27:29+00:00,13125,0601,003,18925.0,27506.0,,,,,,,,,,,,
SDS_CloudMask_2020304_aid0001,aid0001,2020-10-30 16:47:52+00:00,13145,0601,006,,225926.0,,,,,,,,650.0,,,,
